Rank,Bowler,Wickets,Matches,Economy,Bowling Avg,Strike Rate
1,Mohammed Shami,28,17,7.92,19.0,14.39
2,MM Sharma,27,14,8.1,13.41,9.93
3,Rashid Khan,27,17,8.21,20.63,15.07
4,PP Chawla,22,16,8.07,22.68,16.86
5,TU Deshpande,21,16,9.46,27.62,17.52
6,YS Chahal,21,14,7.99,20.67,15.52
7,CV Varun,20,14,8.27,22.25,16.15
8,RA Jadeja,20,16,7.45,21.6,17.4
9,M Pathirana,19,12,7.47,20.32,16.32
10,Mohammed Siraj,19,14,7.2,20.79,17.32
