Rank,Bowler,Wickets,Matches,Economy,Bowling Avg,Strike Rate
1,YS Chahal,27,17,7.5,19.85,15.89
2,PWH de Silva,26,16,7.61,16.88,13.31
3,K Rabada,23,13,8.2,18.0,13.17
4,Umran Malik,22,14,8.72,20.68,14.23
5,Kuldeep Yadav,21,14,8.24,20.0,14.57
6,JR Hazlewood,20,12,7.89,19.0,14.45
7,Mohammed Shami,20,16,7.79,24.55,18.9
8,Avesh Khan,19,13,8.46,22.26,15.79
9,HV Patel,19,15,7.47,22.16,17.79
10,M Prasidh Krishna,19,17,7.83,29.68,22.74
